segment,score
reference,0.15230560940860843
reference,0.16462044650125654
reference,0.14973332999404795
reference,0.16186954179042373
reference,0.1520795690746486
reference,0.16471860138384492
reference,0.15482711522026066
reference,0.15260788450657495
reference,0.15214603413917957
reference,0.14967771917640962
reference,0.1559017294024871
reference,0.153943786294544
reference,0.15135322845622748
reference,0.16462044650125654
reference,0.148780949041667
reference,0.16186954179042373
reference,0.15112718812226764
reference,0.16471860138384492
reference,0.15559331935350879
reference,0.15337408863982308
reference,0.15666793353573522
reference,0.15559331935350879
reference,0.15337408863982308
reference,0.15666793353573522
reference,0.1528444565264029
reference,0.1648480545343839
reference,0.15027217711184243
reference,0.2899110001396167
reference,0.1528444565264029
reference,0.17018659360148103
reference,0.3051739591955436
reference,0.15027217711184243
reference,0.15261841619244307
reference,0.17157248591426186
reference,0.29876063787213963
reference,0.15261841619244307
reference,0.15559331935350879
reference,0.15135322845622748
reference,0.24409702251227527
reference,0.15337408863982308
reference,0.148780949041667
reference,0.2515456853385859
reference,0.15112718812226764
reference,0.15666793353573522
reference,0.2567793991727291
reference,0.1528444565264029
reference,0.15482711522026066
reference,0.15027217711184243
reference,0.23409236195940825
reference,0.15260788450657495
reference,0.2865076539209017
reference,0.2891093253030153
reference,0.25846025939764344
reference,0.2288950534771439
reference,0.24414689108543375
reference,0.15261841619244307
reference,0.30011012510266083
reference,0.30306484518564936
reference,0.26619407524057803
reference,0.2361502527707806
reference,0.1648480545343839
reference,0.15135322845622748
reference,0.1559017294024871
reference,0.17018659360148103
reference,0.148780949041667
reference,0.23963415839444988
reference,0.2288950534771439
reference,0.29665152386224547
reference,0.2927491979639456
reference,0.15482711522026066
reference,0.2728022585540828
reference,0.2288950534771439
reference,0.24266451969390251
reference,0.2361502527707806
reference,0.2865076539209017
reference,0.15260788450657495
reference,0.2361502527707806
reference,0.17157248591426186
reference,0.15112718812226764
reference,0.30011012510266083
reference,0.24266451969390251
reference,0.1559017294024871
reference,0.29692792941946305
reference,0.24266451969390251
reference,0.2927491979639456
reference,0.3135563848535045
reference,0.19261388036462376
reference,0.2288950534771439
reference,0.2426471580136303
reference,0.19980399681882322
reference,0.25170120706796867
reference,0.2361502527707806
reference,0.3195225842817824
reference,0.2426471580136303
reference,0.15322711522026064
reference,0.23142599905686992
reference,0.20694323574317655
reference,0.2891093253030153
reference,0.16462044650125654
reference,0.2865076539209017
reference,0.24266451969390251
reference,0.2558850902296397
reference,0.1648480545343839
reference,0.1648480545343839
reference,0.25170120706796867
reference,0.24517810359335637
reference,0.1507588002574907
reference,0.23707581212247894
reference,0.15482711522026066
reference,0.16186954179042373
reference,0.30306484518564936
reference,0.15482711522026066
reference,0.30011012510266083
reference,0.17018659360148103
reference,0.17018659360148103
reference,0.15135322845622748
reference,0.25262676641966697
reference,0.1528444565264029
reference,0.15260788450657495
reference,0.15260788450657495
reference,0.148780949041667
reference,0.26271542544464715
reference,0.2558850902296397
reference,0.3561305303424702
reference,0.4007889535488763
reference,0.15027217711184243
reference,0.15502486737562507
reference,0.24603901900207442
reference,0.29665152386224547
reference,0.16471860138384492
reference,0.17157248591426186
reference,0.2927491979639456
reference,0.17250479344217767
reference,0.26242764954001896
reference,0.35442641321469087
reference,0.4027213359292649
reference,0.25786048025381014
reference,0.1559017294024871
reference,0.1559017294024871
reference,0.29692792941946305
reference,0.15112718812226764
reference,0.15261841619244307
reference,0.2524337324597419
reference,0.3135563848535045
reference,0.26817678391455124
reference,0.2478647642072977
reference,0.34693443498800025
reference,0.39901067923087113
reference,0.26249861672248054
reference,0.24867388573339771
reference,0.2873026046182007
reference,0.3195225842817824
reference,0.1648480545343839
reference,0.2666824998841516
reference,0.2877591237274532
reference,0.25392032045316065
reference,0.24409702251227527
reference,0.17018659360148103
reference,0.2288950534771439
reference,0.23142599905686992
reference,0.24675659821701226
reference,0.24517810359335637
reference,0.2515456853385859
reference,0.20775952783608967
reference,0.2361502527707806
reference,0.23707581212247894
reference,0.25262676641966697
reference,0.25502208805709387
reference,0.2861109959455744
reference,0.2288950534771439
reference,0.17157248591426186
reference,0.21669854707979505
reference,0.23510042209830842
reference,0.2567793991727291
reference,0.24266451969390251
reference,0.24603901900207442
reference,0.26068268895301616
reference,0.25786048025381014
reference,0.28190433508629975
reference,0.24764904730009324
reference,0.4382154702200622
reference,0.2228420247233267
reference,0.28102534859871364
reference,0.24766769263571703
reference,0.24266451969390251
reference,0.4383925269111441
reference,0.2877113328079044
reference,0.28711841358767326
reference,0.3612217005241084
reference,0.2824334753238776
reference,0.2508993069756922
reference,0.4342940181895902
reference,0.3620008928199601
reference,0.28066328630658394
reference,0.2729263405385265
reference,0.27816458329514915
reference,0.3551135522396099
reference,0.15482711522026066
reference,0.26744531759971596
reference,0.15559331935350879
reference,0.15135322845622748
reference,0.28720740169145165
reference,0.15260788450657495
reference,0.2716572363976618
reference,0.15337408863982308
reference,0.148780949041667
reference,0.38557380363374216
reference,0.3462887541461068
reference,0.381335893529018
reference,0.1559017294024871
reference,0.2835313110217527
reference,0.15666793353573522
reference,0.15112718812226764
reference,0.38233000285094754
reference,0.35089349438483936
reference,0.37716442990735044
reference,0.33281988626068176
reference,0.2873026046182007
reference,0.37711181440921343
reference,0.2877591237274532
reference,0.3289060357923932
reference,0.26885238078378276
reference,0.3729403507875459
reference,0.2426471580136303
reference,0.24673700803544088
reference,0.3379023560561338
reference,0.27862954251040334
reference,0.25065137639549645
reference,0.3129556436387655
reference,0.3733471746296157
reference,0.3196068921808448
reference,0.3189315294303833
reference,0.3350892184947001
reference,0.25012307342027335
reference,0.28876396438685176
reference,0.3179146888272643
reference,0.368564667586434
reference,0.3264781946691984
reference,0.2861109959455744
reference,0.3188982349140613
reference,0.3185538822969814
reference,0.2881710451666206
reference,0.28525922495708034
reference,0.2558850902296397
reference,0.2586563981366378
reference,0.3334217171515285
reference,0.3279512501582302
reference,0.31905489695614153
reference,0.3187105443390616
reference,0.2808238919022057
reference,0.2490530254634892
reference,0.25703133742940804
reference,0.26446053944000514
reference,0.3398804029512663
reference,0.15135322845622748
reference,0.2970497703501185
reference,0.148780949041667
reference,0.3444214498321901
reference,0.3092503925438267
reference,0.3458070733372571
reference,0.15112718812226764
reference,0.24675659821701226
reference,0.3118408833097797
reference,0.25502208805709387
reference,0.15135322845622748
reference,0.148780949041667
reference,0.24844744692949491
reference,0.26068268895301616
reference,0.25635988806870175
reference,0.15112718812226764
reference,0.26202048896462415
reference,0.43595219182983613
reference,0.36928315645472154
reference,0.45387479055662167
reference,0.4370207008950965
reference,0.4326653005564149
reference,0.35983042454316544
reference,0.1648480545343839
reference,0.45476467432560963
reference,0.3703394129053133
reference,0.3603064493022917
reference,0.42955859595290957
reference,0.17018659360148103
reference,0.43174932400393495
reference,0.3779281164431531
reference,0.39064269174523575
reference,0.3777849010917373
reference,0.36641285562039266
reference,0.4509660490921023
reference,0.41607018346705743
reference,0.3545409815895316
reference,0.37697153227343794
reference,0.3760859825173395
reference,0.3885306242646049
reference,0.17250479344217767
reference,0.3808633893305498
reference,0.37165360772915257
reference,0.3736859464760767
reference,0.23409236195940825
reference,0.24414689108543375
reference,0.24997471606629934
reference,0.25841460032903796
reference,0.23963415839444988
reference,0.26259848349070897
reference,0.1633138822182085
reference,0.1648480545343839
reference,0.24478309394556386
reference,0.23572899859604485
reference,0.1605629775073757
reference,0.17018659360148103
reference,0.24808060290589973
reference,0.24522797216651482
reference,0.1928416533145866
reference,0.2426471580136303
reference,0.20082224595926224
reference,0.38536562114110906
reference,0.16341203710079685
reference,0.17157248591426186
reference,0.2559096669706351
reference,0.25170120706796867
reference,0.240715239475531
reference,0.3818518868034972
reference,0.23602569529274153
reference,0.23409236195940825
reference,0.20796148488361557
reference,0.2471300550912393
reference,0.2558850902296397
reference,0.24414689108543375
reference,0.37730102494181633
reference,0.27319599219261365
reference,0.24156749172778325
reference,0.23963415839444988
reference,0.279288802094742
reference,0.1928416533145866
reference,0.29054688684759694
reference,0.29106102232566056
reference,0.30715905225273016
reference,0.20082224595926224
reference,0.1928416533145866
reference,0.1633138822182085
reference,0.23602569529274153
reference,0.30171795315154853
reference,0.1648480545343839
reference,0.20796148488361557
reference,0.20082224595926224
reference,0.1605629775073757
reference,0.2471300550912393
reference,0.1928416533145866
reference,0.17018659360148103
reference,0.19182340417414756
reference,0.19980399681882322
reference,0.20082224595926224
reference,0.20796148488361557
reference,0.16341203710079685
reference,0.24156749172778325
reference,0.17157248591426186
reference,0.26609072888325663
reference,0.2865076539209017
reference,0.20694323574317655
reference,0.20796148488361557
reference,0.27892566813356146
reference,0.30011012510266083
reference,0.23409236195940825
reference,0.24519672175790594
reference,0.32669044283512133
reference,0.2758310313557526
reference,0.2927491979639456
reference,0.3451177480298642
reference,0.23963415839444988
reference,0.23409236195940825
reference,0.16600891767920142
reference,0.23572899859604485
reference,0.1928416533145866
reference,0.19261388036462376
reference,0.24414689108543375
reference,0.3487535636966914
reference,0.16325801296836862
reference,0.19980399681882322
reference,0.20082224595926224
reference,0.24522797216651482
reference,0.28809308080867685
reference,0.3030377218568544
reference,0.23963415839444988
reference,0.2757460964158918
reference,0.16610707256178978
reference,0.29948276400469437
reference,0.286619925777923
reference,0.29948276400469437
reference,0.240715239475531
reference,0.20694323574317655
reference,0.20796148488361557
reference,0.1648480545343839
reference,0.28183890631802017
reference,0.30940345796246077
reference,0.3128738779162729
reference,0.3128738779162729
reference,0.2927127356800514
reference,0.17018659360148103
reference,0.2891093253030153
reference,0.28400795658025507
reference,0.30306484518564936
reference,0.2915856008545855
reference,0.3228527080891208
reference,0.29350655138554005
reference,0.30354368924599184
reference,0.3055129507775576
reference,0.3055129507775576
reference,0.17157248591426186
reference,0.42715477753565767
reference,0.1648480545343839
reference,0.29665152386224547
reference,0.29627036501042325
reference,0.42300515377929027
reference,0.17018659360148103
reference,0.33989684650325197
reference,0.19182340417414756
reference,0.1928416533145866
reference,0.33569117213559235
reference,0.19980399681882322
reference,0.20082224595926224
reference,0.4230039227149004
reference,0.17157248591426186
reference,0.2942568354791692
reference,0.43197423242721356
reference,0.3458352386927237
reference,0.43558630366840895
reference,0.19261388036462376
reference,0.3311922804507673
reference,0.20796148488361557
reference,0.29705550743867326
reference,0.20694323574317655
reference,0.4326977969521145
reference,0.29787430167133694
reference,0.3529690294192798
reference,0.3555512190437319
reference,0.19980399681882322
reference,0.43491185714976005
reference,0.3007182489111514
reference,0.36202635108480014
reference,0.46132444098549363
reference,0.3656502736067822
reference,0.3458916531819056
reference,0.3482312832414701
reference,0.30027194786099604
reference,0.2981565632456114
reference,0.3268787457181334
reference,0.44248450133015493
reference,0.4340632326229815
reference,0.3714056894867031
reference,0.4581076187827015
reference,0.30650178198705796
reference,0.35296429558637116
reference,0.3506246655268067
reference,0.4285355397968165
reference,0.20694323574317655
reference,0.43480805341897594
reference,0.37176788497689406
reference,0.6522131171866574
reference,0.3166911175442379
reference,0.3026526380514229
reference,0.30181930471808954
reference,0.4377315217787756
reference,0.4420469923505955
reference,0.33023724273746446
reference,0.3088824721774848
reference,0.23988563280966024
reference,0.37696096573591104
reference,0.3944502815030736
reference,0.3096705910981407
reference,0.2882085423106738
reference,0.25098999260815796
reference,0.39285138053074087
reference,0.36555928017791756
reference,0.36789891023748206
reference,0.31613650049489384
reference,0.3177921733511761
reference,0.2658353442048372
reference,0.3177921733511761
reference,0.2922006533556173
reference,0.3986826405468385
reference,0.4387894340099331
reference,0.4400046714815197
reference,0.33252965276714064
reference,0.32402200747723786
reference,0.27867028345514205
reference,0.39484458231106845
reference,0.33765898157590335
reference,0.3450335638561223
reference,0.24542742924470196
reference,0.39075022448973706
reference,0.36833878295271283
reference,0.315556260233908
reference,0.23409236195940825
reference,0.34539399760904677
reference,0.3547495442071306
reference,0.24414689108543375
reference,0.3792041422722204
reference,0.27557564667733314
reference,0.3803052688921032
reference,0.4487466994484365
reference,0.19182340417414756
reference,0.3870787339339662
reference,0.38065765243862226
reference,0.36702463716477673
reference,0.6169502508843822
reference,0.3797729967845841
reference,0.3823841530053228
reference,0.19980399681882322
reference,0.4532121779361224
reference,0.3429480417247813
reference,0.37430917266267905
reference,0.33173980973112654
reference,0.3674838418971229
reference,0.3009858225970333
reference,0.6197094122489568
reference,0.23963415839444988
reference,0.3812306116521272
reference,0.3483146920156774
reference,0.3488151242955283
reference,0.34612146745485717
reference,0.3009858225970333
reference,0.3435397592944907
reference,0.34533115948384263
reference,0.3488151242955283
reference,0.373775061426941
reference,0.327825959262838
reference,0.308324092902326
reference,0.2899110001396167
reference,0.6090908008128552
reference,0.3506925163815119
reference,0.34878212054669244
reference,0.3476468865445564
reference,0.3495724285177069
reference,0.3567232331933928
reference,0.38819795574019944
reference,0.20694323574317655
reference,0.46125469887120374
reference,0.38628626035213565
reference,0.3051739591955436
reference,0.3716344177945345
reference,0.47262076539319386
reference,0.2970497703501185
reference,0.4044348418506313
reference,0.6127725812250489
reference,0.6091482229504356
reference,0.3260229168513984
reference,0.37660685020343526
reference,0.3242969615354124
reference,0.5848757615808574
reference,0.47103529652834375
reference,0.3092503925438267
reference,0.40333209665217284
reference,0.46760645380445237
reference,0.3716578478445037
reference,0.3660758489813407
reference,0.36288340186446993
reference,0.347797906613598
reference,0.36367370983548447
reference,0.46860821192314345
reference,0.5836393106060442
reference,0.29876063787213963
reference,0.31272115949092844
reference,0.32852095636002715
reference,0.27284226137475626
reference,0.16600891767920142
reference,0.5490393462842114
reference,0.33559233420034784
reference,0.6059889643327439
reference,0.20484074359237217
reference,0.31969742459498124
reference,0.3455886124319631
reference,0.2882457633968781
reference,0.28261942310137683
reference,0.16325801296836862
reference,0.39886978496574843
reference,0.24479769564803888
reference,0.3118408833097797
reference,0.46802493716741284
reference,0.5488740745385137
reference,0.3433273502334912
reference,0.21333774531203847
reference,0.29148406264683524
reference,0.5691707837021304
reference,0.25385174470237726
reference,0.4623305309266803
reference,0.34922442809879023
reference,0.287718241350523
reference,0.3205162936179968
reference,0.16610707256178978
reference,0.552695396911411
reference,0.34182900016453727
reference,0.2188720069561414
reference,0.3549100528562086
reference,0.3622003372386894
reference,0.6187265370455416
reference,0.5754384081615705
reference,0.29414954745197475
reference,0.25803562786404827
reference,0.5395973446179158
reference,0.36331859403392397
reference,0.3706088784164047
reference,0.5733681827372559
reference,0.6214856984101161
reference,0.48595660752242775
reference,0.3526606787845174
reference,0.34875964376983065
reference,0.3526606787845174
reference,0.5378588782347965
reference,0.2426471580136303
reference,0.34662580032335877
reference,0.15135322845622748
reference,0.3585712112007833
reference,0.3585712112007833
reference,0.48995194494203814
reference,0.3534926561147317
reference,0.25170120706796867
reference,0.2426471580136303
reference,0.148780949041667
reference,0.3550343415010742
reference,0.37825320868503487
reference,0.3855434930675156
reference,0.25170120706796867
reference,0.5338716092768526
reference,0.32669044283512133
reference,0.2865076539209017
reference,0.5987678244529184
reference,0.46418933685216607
reference,0.5672003919257935
reference,0.37350582585189407
reference,0.4890169688327605
reference,0.36842727076584253
reference,0.37350582585189407
reference,0.2558850902296397
reference,0.3451177480298642
reference,0.30011012510266083
reference,0.6089462771448021
reference,0.6065339484913298
reference,0.15112718812226764
reference,0.46380506330511956
reference,0.24409702251227527
reference,0.3699689561521851
reference,0.5705765850173355
reference,0.2558850902296397
reference,0.6126280575569957
reference,0.2515456853385859
reference,0.3487535636966914
reference,0.2927491979639456
reference,0.6015441840304059
reference,0.462112337526445
reference,0.5658088924233285
reference,0.2808459228312451
reference,0.31143517491479744
reference,0.31197402203259195
reference,0.1991160299255214
reference,0.35394575591256694
reference,0.3468427620425869
reference,0.5479153119905972
reference,0.5493217942535474
reference,0.3451760953759202
reference,0.6070700849135909
reference,0.2567793991727291
reference,0.2874903357399578
reference,0.3180583913179755
reference,0.3185972384357699
reference,0.2035470766899307
reference,0.5532223600632119
reference,0.36208045853046816
reference,0.3582905798690124
reference,0.5511910735409442
reference,0.3582905798690124
reference,0.34250919400876517
reference,0.353231884663223
reference,0.2921750998957955
reference,0.3800219676965907
reference,0.3179296545256795
reference,0.31846850164347396
reference,0.20077619911906555
reference,0.37500765272643266
reference,0.37431357066874055
