operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,accion_tomada,fecha_accion,resultado_7d,resultado_30d,caida_real_30d,comentario_operativo
OP_9E2ECB1AC5,2026-07-05,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,0.588203,P1,24,45210.63,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_F5A9EB3521,2026-07-05,Torre Nápoles,ASESOR_E5897908D5,sin_clasificar,0.587668,P1,24,16572.23,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_3F8D96FFBF,2026-07-05,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,0.587456,P1,24,23424.01,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_AC1930B795,2026-07-05,Sialia,ASESOR_950BED165C,sin_clasificar,0.587446,P1,24,21123.38,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_76D2A9D606,2026-07-05,Edificio Mariategui,ASESOR_7B5A7F5FB0,sin_clasificar,0.587383,P1,24,54363.92,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_FC8EC50993,2026-07-05,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,0.586452,P1,24,20785.05,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_4D054A6F1F,2026-07-05,Tizón y Bueno,ASESOR_F59A4378D8,sin_clasificar,0.584755,P1,24,48740.99,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_B60346AD96,2026-07-05,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,0.58468,P1,24,47905.56,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_14688E949B,2026-07-05,Torre Nápoles,ASESOR_F59A4378D8,sin_clasificar,0.584224,P1,24,17964.87,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_C258C88379,2026-07-05,Alicanto,ASESOR_9FCF63DC91,sin_clasificar,0.583324,P1,24,22308.68,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_A9977185F0,2026-07-05,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,0.582543,P1,24,17781.04,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_C889EAA3D7,2026-07-05,Edificio Valdizan,ASESOR_1265C8A465,sin_clasificar,0.582534,P1,24,50116.88,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_1EB8C654B0,2026-07-05,Capadocia,ASESOR_C6B4E60323,sin_clasificar,0.580165,P1,24,57488.5,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
