operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_09FE2B161D,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14426.69,Seguimiento regular.,671,real_source:ranking_operaciones_riesgo_caida.parquet
OP_ED66499EB9,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14426.69,Seguimiento regular.,672,real_source:ranking_operaciones_riesgo_caida.parquet
OP_04AA333299,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14426.69,Seguimiento regular.,673,real_source:ranking_operaciones_riesgo_caida.parquet
OP_AC4C8D8329,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14423.33,Seguimiento regular.,674,real_source:ranking_operaciones_riesgo_caida.parquet
OP_4E592F16B8,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14423.33,Seguimiento regular.,675,real_source:ranking_operaciones_riesgo_caida.parquet
OP_3D9596BE58,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14423.33,Seguimiento regular.,676,real_source:ranking_operaciones_riesgo_caida.parquet
OP_468CEC2E63,2026-07-05,Los Jardines de Urteaga,ASESOR_D49965A644,sin_clasificar,0.146355,P3,168,14423.33,Seguimiento regular.,677,real_source:ranking_operaciones_riesgo_caida.parquet
OP_0E02B5457F,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.144322,P3,168,8248.37,Seguimiento regular.,714,real_source:ranking_operaciones_riesgo_caida.parquet
OP_DF6F9D1241,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.144322,P3,168,8248.37,Seguimiento regular.,715,real_source:ranking_operaciones_riesgo_caida.parquet
OP_A1CD45DF75,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.14203,P3,168,10991.01,Seguimiento regular.,707,real_source:ranking_operaciones_riesgo_caida.parquet
OP_847F40AB12,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7835.26,Seguimiento regular.,722,real_source:ranking_operaciones_riesgo_caida.parquet
