operation_id,ranking_capacity,proyecto,asesor_id,canal,riesgo_caida,valor_esperado_en_riesgo,dias_en_tuberia,prioridad,sla_horas,accion_recomendada,data_mode
OP_D18B29D8,495,Tizón y Bueno,ASESOR_26DEBB0E,sin_clasificar,0.5187,22492.92,950,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_AC1270C5,496,Edificio Urbanzen,ASESOR_10B2BE3F,sin_clasificar,0.2621,22427.53,1007,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_35BBCE40,497,Sialia,ASESOR_BB88CD67,sin_clasificar,0.4489,22421.91,280,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_DCB5D6E6,498,Alicanto,ASESOR_26DEBB0E,sin_clasificar,0.4594,22407.13,471,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F138665C,499,Alicanto,ASESOR_2660085B,sin_clasificar,0.4385,22364.9,364,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_DB3DEFDA,500,Alicanto,ASESOR_1F3B24E1,sin_clasificar,0.5833,22308.68,168,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_0604CD31,501,Alicanto,ASESOR_B56EAA59,sin_clasificar,0.4312,22203.76,644,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_1158E7E1,502,Modena,ASESOR_2660085B,sin_clasificar,0.5919,22197.48,262,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5344C411,503,Alicanto,ASESOR_26DEBB0E,sin_clasificar,0.4352,22195.97,674,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_7182DD43,504,Torre Nápoles,ASESOR_59C3D8E4,sin_clasificar,0.579,22164.89,13,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_BA689ABD,505,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2824,22141.97,2521,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_E13B778A,506,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2824,22141.97,2451,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A2075145,507,Alicanto,ASESOR_D5DBFC78,sin_clasificar,0.4457,22107.01,612,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A435270B,508,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.244,22072.77,2173,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_ECAC903E,509,Sialia,ASESOR_1959B8DB,sin_clasificar,0.6227,22042.54,475,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A0519893,510,Alicanto,ASESOR_B56EAA59,sin_clasificar,0.4555,22035.97,410,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5E5C743A,511,Sialia,ASESOR_2660085B,sin_clasificar,0.5989,22008.44,199,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
