k,positives,precision_at_k,capture_rate_at_k
10,2,0.2,0.025974025974025976
20,2,0.1,0.025974025974025976
50,6,0.12,0.07792207792207792
100,9,0.09,0.11688311688311688
200,17,0.085,0.22077922077922077
880,77,0.0875,1.0
