experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_FE6B6F5197,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,P1,0.609551,high,54139.93,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.794817,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_87FFD2B963,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_E5897908D5,sin_clasificar,P1,0.609292,high,78141.68,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.651842,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_BCEFB0FE03,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.606134,high,53184.77,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.715587,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C737755DF3,2026-07-05T01:23:32.267615+00:00,Edificio Valdizan,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.602727,high,47455.73,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.262101,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_6827351FF8,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_9FCF63DC91,sin_clasificar,P1,0.599748,high,21535.32,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.371805,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_09E99E9638,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_9FCF63DC91,sin_clasificar,P1,0.599748,high,19783.43,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.604774,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_FB774326D4,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_E5897908D5,sin_clasificar,P1,0.598869,high,22008.44,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.847223,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_8FC2612D8D,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_950BED165C,sin_clasificar,P1,0.597807,high,23447.19,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.810095,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_AE51023B0C,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_233077BA7F,sin_clasificar,P1,0.596297,high,47960.18,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.164088,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_3ECF71FAC4,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,P1,0.596205,high,48203.17,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.716093,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_1EB3A6F13A,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_1265C8A465,sin_clasificar,P1,0.592285,high,45567.02,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.27844,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_709AB61855,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_E5897908D5,sin_clasificar,P1,0.591933,high,22197.48,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.430031,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C758B19EEC,2026-07-05T01:23:32.267615+00:00,Edificio Valdizan,ASESOR_1265C8A465,sin_clasificar,P1,0.589331,high,54122.65,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.848404,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_5AA8050BB5,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_E5897908D5,sin_clasificar,P1,0.588824,high,19872.82,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.670928,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_8A2CA303BF,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.588774,high,44806.02,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.068192,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C05595CD26,2026-07-05T01:23:32.267615+00:00,Edificio Valdizan,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.588358,high,44126.81,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.50998,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_9E2ECB1AC5,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.588203,high,45210.63,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.70115,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_F5A9EB3521,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_E5897908D5,sin_clasificar,P1,0.587668,high,16572.23,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.131362,,real_source:ranking_operaciones_riesgo_caida.parquet
